month,BH,Momentum,Mean Reversion,ML Adaptive,Oracle
2000-11-30,0.9253471859746953,1.0,1.0,1.0,1.0
2000-12-31,0.9205101482873573,1.0,0.9947727320505729,1.0,1.0
2001-01-31,0.9614355102308794,1.0,1.0389997665775264,1.0,1.0444594359113424
2001-02-28,0.8697265770263056,0.9046124963882906,1.0389997665775264,1.0,1.0444594359113424
2001-03-31,0.8209897769606346,0.9046124963882906,0.9807774180492069,1.0,1.0444594359113424
2001-04-30,0.8911354180213634,0.9046124963882906,1.0645753685932937,1.0,1.1336983993551482
2001-05-31,0.8861399043996022,0.8995414331618318,1.0645753685932937,1.0,1.1336983993551482
2001-06-30,0.8650233634613693,0.8995414331618318,1.0392067453757603,1.0,1.1336983993551482
2001-07-31,0.85620413578587,0.8995414331618318,1.028611654796114,1.0,1.1336983993551482
2001-08-31,0.8054028722379594,0.8995414331618318,0.9675809150697897,1.0,1.1336983993551482
2001-09-30,0.7396577473224484,0.8995414331618318,0.8885971787064398,1.0,1.1336983993551482
2001-10-31,0.7492896462976457,0.8995414331618318,0.9001685822183058,1.0,1.148461536076775
2001-11-30,0.8077170401290411,0.9696850176123852,0.9001685822183058,1.0,1.2380151750468666
2001-12-31,0.8122718397236447,0.9751531713168167,0.9001685822183058,1.0,1.2449964701505525
2002-01-31,0.8043126584287689,0.9655979700883409,0.9001685822183058,1.0,1.2449964701505525
2002-02-28,0.7898864851136175,0.9655979700883409,0.8840231344948998,1.0,1.2449964701505525
2002-03-31,0.8161665744739205,0.9655979700883409,0.9134352176346175,1.0,1.2864183948263648
2002-04-30,0.7687016066692709,0.9094426728783072,0.9134352176346175,1.0,1.2864183948263648
2002-05-31,0.7641406860465125,0.9094426728783072,0.9080155522072029,1.0,1.2864183948263648
2002-06-30,0.7077409456787259,0.9094426728783072,0.8409966873181248,1.0,1.2864183948263648
2002-07-31,0.6519573329120724,0.9094426728783072,0.7747099565166419,1.0,1.2864183948263648
2002-08-31,0.6563914308624419,0.9094426728783072,0.7799789206909963,1.0,1.295167594934812
2002-09-30,0.5875671772358795,0.8140853750312659,0.7799789206909963,1.0,1.295167594934812
2002-10-31,0.6359144954415529,0.8140853750312659,0.8441586273413333,1.0,1.401739034368455
2002-11-30,0.6751385469567965,0.8642992432744497,0.8441586273413333,1.0,1.4882001615940879
2002-12-31,0.6369457629111138,0.815405583598193,0.8441586273413333,1.0,1.4882001615940879
2003-01-31,0.6212805844927859,0.815405583598193,0.8233972120361527,1.0,1.4882001615940879
2003-02-28,0.6129062214046316,0.815405583598193,0.8122984792067754,1.0,1.4882001615940879
2003-03-31,0.6142182176723137,0.815405583598193,0.8140372975377768,1.0,1.4913858252231837
2003-04-30,0.6661877591008156,0.8843977642899842,0.8140372975377768,1.0,1.6175732862912415
2003-05-31,0.7027188936266762,0.9328946831545029,0.8140372975377768,1.0,1.7062746869394652
2003-06-30,0.7102041983377464,0.9428318017236509,0.8140372975377768,1.0,1.7244497866391655
2003-07-31,0.723007292995422,0.9598285539703818,0.8140372975377768,1.0,1.755537034366544
2003-08-31,0.7379197945749407,0.9796256500243509,0.8140372975377768,1.0,1.7917461418700564
2003-09-30,0.7298721518457705,0.9689419994464877,0.8140372975377768,1.0,1.7917461418700564
2003-10-31,0.7689393205709054,0.9689419994464877,0.8576094935327012,1.0,1.8876512242328076
2003-11-30,0.7773370358007193,0.979523977462018,0.8576094935327012,1.0,1.908266579710464
2003-12-31,0.8164474709714429,1.028807116247803,0.8576094935327012,1.0,2.0042778758625204
2004-01-31,0.8325889576148983,1.0491470363480475,0.8576094935327012,1.0,2.0439032353783193
2004-02-29,0.8438872016931598,1.0633839766560256,0.8576094935327012,1.0,2.071639031552947
2004-03-31,0.8327097011839825,1.0492991855646618,0.8576094935327012,1.0,2.071639031552947
2004-04-30,0.8169539231639908,1.0492991855646618,0.8413825842163737,1.0,2.071639031552947
2004-05-31,0.8309424848909124,1.0492991855646618,0.855789433711244,1.0,2.1071113509177213
2004-06-30,0.8463159082754703,1.0687124673862973,0.855789433711244,1.0,2.146095414803104
2004-07-31,0.8190489917870053,1.034280296947976,0.855789433711244,1.0,2.146095414803104
2004-08-31,0.8210443631158243,1.034280296947976,0.8578743122919599,1.0,2.151323743392173
2004-09-30,0.8292851955555294,1.044661381096086,0.8578743122919599,1.0,2.1729166064447543
2004-10-31,0.8399703306218851,1.0581215851554866,0.8578743122919599,1.0,2.2009141006147015
2004-11-30,0.8773629369732819,1.1052255392634156,0.8578743122919599,1.0,2.2988912690661083
2004-12-31,0.9037906018069104,1.138516813474272,0.8578743122919599,1.0,2.368137786542016
2005-01-31,0.8835268123253355,1.1129902534687222,0.8578743122919599,0.9775791102042195,2.368137786542016
2005-02-28,0.9019957989622925,1.1129902534687222,0.8758070665546281,0.9980141386278751,2.4176406477160945
2005-03-31,0.8854960225475196,1.0926308567229919,0.8758070665546281,0.9797579447907345,2.4176406477160945
2005-04-30,0.8689060238547364,1.0926308567229919,0.8593985929767677,0.9797579447907345,2.4176406477160945
2005-05-31,0.8969057028780819,1.0926308567229919,0.8870919039860686,1.0113297226603508,2.4955468427146466
2005-06-30,0.8982651580763903,1.0942869758593043,0.8870919039860686,1.012862612287725,2.499329385424615
2005-07-31,0.9326337249701302,1.1361555430553287,0.8870919039860686,1.012862612287725,2.594956348577015
2005-08-31,0.9238909682217177,1.1255049186190191,0.8870919039860686,1.0033677685975324,2.594956348577015
2005-09-30,0.9313058811090057,1.1255049186190191,0.8942114769847481,1.0114205419809366,2.615782805304965
