date,Adj Close,Close,High,Low,Open,Volume,daily_return,rolling_volatility,sma_20,sma_50,ema_20,rsi_14,best_strategy,vix_level,vix_5d_change,vix_20d_ma,vix_20d_vol,rate_10y,rate_10y_20d_change,macd,macd_signal,macd_hist,month_pos_frac
2000-03-14,86.32001495361328,136.625,140.09375,136.15625,139.28125,8263900.0,-0.0142055838295427,0.0144925678920683,86.9957462310791,88.76371047973633,87.5285132781278,50.13283412130626,momentum,24.40999984741211,,,,0.6297999858856201,,0.0,0.0,0.0,0.6428571428571429
2000-03-15,88.33390045166016,139.8125,140.4375,136.0625,136.875,10300800.0,0.0233304581692797,0.0152563755915926,86.95576553344726,88.69263381958008,87.60521681846421,62.51614684408547,momentum,22.34000015258789,,,,0.6276000022888184,,0.16065183460203514,0.03213036692040703,0.12852146768162812,0.6428571428571429
2000-03-16,92.46034240722656,146.34375,146.84375,140.875,141.625,25601400.0,0.0467141373183737,0.0181233271278961,87.1877571105957,88.77595291137695,88.06760973167967,71.68126711068109,momentum,20.770000457763672,,,,0.623799991607666,,0.6138627233000733,0.14847683819634028,0.465385885103733,0.6428571428571429
2000-03-17,93.07140350341795,146.9375,148.0,145.4375,145.8125,10272900.0,0.0066088993430293,0.0180442296124312,87.4730052947998,88.86833480834962,88.54416151946427,69.84299985690646,momentum,22.3700008392334,,,,0.6188000202178955,,1.0106925073231992,0.3209199720217121,0.6897725353014871,0.6428571428571429
2000-03-20,92.59635925292967,146.1875,147.34375,144.78125,146.875,12502300.0,-0.0051040838819071,0.0172128027119731,87.82828559875489,88.97964614868164,88.93008511312763,66.50918715481234,momentum,22.959999084472656,,,,0.6171000003814697,,1.2721859020906976,0.5111731580355092,0.7610127440551884,0.6428571428571429
2000-03-21,94.49654388427734,149.1875,149.75,144.5,145.53125,13612600.0,0.0205211592192007,0.0175116374516788,88.2894344329834,89.02787231445312,89.46022404371331,68.77816622038102,momentum,21.700000762939453,-0.1110200369280201,,,0.613700008392334,,1.6141434793853904,0.7317672223054854,0.882376257079905,0.6428571428571429
2000-03-22,95.07061004638672,150.09375,150.84375,148.6875,149.5625,8260000.0,0.0060749963809512,0.0174461567727507,88.72893905639648,89.08126251220703,89.9945465201584,69.61377656118998,momentum,21.489999771118164,-0.03804836059373351,,,0.6119999885559082,,1.9094586143641976,0.9673055007172279,0.9421531136469697,0.6428571428571429
2000-03-23,96.6937484741211,152.65625,153.46875,149.15625,149.15625,11654500.0,0.0170729779365297,0.016586695703678,89.33647155761719,89.18922927856445,90.63256575386912,69.58909992712539,momentum,22.260000228881836,0.07173807117376407,,,0.6070000171661377,,2.248551787122821,1.2235547579983466,1.0249970291244745,0.6428571428571429
2000-03-24,97.26774597167967,153.5625,155.75,151.71875,152.875,11462900.0,0.0059362420695914,0.016405377994321,89.98800621032714,89.32684020996093,91.2644876793749,73.70551975117341,momentum,23.309999465942383,0.04202050028806337,,,0.6173999786376954,,2.534387528694822,1.4857213121376418,1.04866621655718,0.6428571428571429
2000-03-27,96.2384796142578,151.9375,153.78125,151.8125,153.375,8798600.0,-0.0105817848161254,0.0165422269227437,90.49972534179688,89.41938217163086,91.7382011969828,76.4464520293768,momentum,24.530000686645508,0.06837986344845315,,,0.6195000171661377,,2.6473442831384233,1.7180459063377982,0.9292983768006251,0.6428571428571429
