month,Adj Close,Close,High,Low,Open,Volume,daily_return,rolling_volatility,sma_20,sma_50,ema_20,rsi_14,best_strategy,regime
2000-03-31,95.24880981445312,150.375,152.3125,148.4375,149.625,9249100.0,0.0113503030538693,0.0171268587994121,91.99522514343262,89.6511360168457,92.876626304872,71.96117051823373,momentum,0
2000-04-30,91.9035873413086,145.09375,147.859375,145.0625,147.0,8743400.0,-0.0062069644292493,0.0213225476683016,92.81904563903808,91.02436386108398,92.24679524192676,41.30249176847427,momentum,0
2000-05-31,90.45858001708984,142.8125,144.0,142.09375,142.5625,6056500.0,0.0021921868718646,0.0159282231233497,89.7277214050293,92.01580505371092,89.86877981419907,58.72084997597722,buy_hold,0
2000-06-30,92.23897552490234,145.28125,145.59375,143.890625,143.9375,7420200.0,0.0075855103401309,0.0089509188591453,92.925044631958,91.50773529052736,92.398812632089,52.29408484409795,mean_reversion,0
2000-07-31,90.7906265258789,143.0,144.125,142.0625,142.9375,5265500.0,0.006377839999736,0.0112293476782364,93.649165725708,92.53930282592772,93.07909962371376,35.84916487426122,buy_hold,0
2000-08-31,96.72296142578124,152.34375,153.09375,150.90625,151.0625,4863100.0,0.0133026792949921,0.006619206751194,94.98394355773924,93.87148025512695,95.14029453197176,72.89770770477331,mean_reversion,0
2000-09-30,91.4165496826172,143.625,145.96875,143.625,145.46875,9333600.0,-0.0094827898342559,0.0102804729897523,93.41075744628908,93.79853637695312,92.88647444439424,36.59794436164073,momentum,0
2000-10-31,90.98892974853516,142.953125,143.6875,140.0625,141.015625,7752400.0,0.0172341513131089,0.0179744891884246,88.34993057250976,91.71277908325196,88.98210619955765,60.86723169342512,momentum,0
2000-11-30,84.19635009765625,132.28125,133.5,129.75,132.5,11201600.0,-0.0086645634661128,0.0137584631488037,87.54933471679688,88.6298875427246,86.81067823145588,34.44187232895699,momentum,0
2000-12-31,83.75623321533203,131.1875,134.28125,131.1875,134.0625,8774600.0,-0.018929717006888,0.0186394204015471,84.85163726806641,86.75140869140625,84.73295061005635,46.05949201311703,buy_hold,0
2001-01-31,87.47998809814453,137.02000427246094,138.6999969482422,136.60000610351562,137.39999389648438,9706900.0,-0.0056607779036363,0.0147224553583654,85.5458480834961,85.1958253479004,86.01760501824708,75.80054721905894,mean_reversion,0
2001-02-28,79.13549041748047,123.9499969482422,126.83999633789062,123.2699966430664,126.75,14825800.0,-0.019693371562258,0.0121900559569415,83.7891342163086,84.3383464050293,82.85877350303745,25.6128057516476,momentum,0
2001-03-31,74.70098114013672,116.69000244140624,116.69000244140624,114.5,115.5500030517578,9183600.0,0.0104780571655735,0.0202613405412333,75.687841796875,80.84730926513672,75.6895221407223,48.03946164902652,buy_hold,0
2001-04-30,81.08345794677734,126.66000366210938,127.2699966430664,124.66999816894533,126.4499969482422,10766900.0,0.0069967314539194,0.0187789620759154,76.33146133422852,76.91446044921875,77.60330191083091,76.60506007363442,mean_reversion,0
2001-05-31,80.62892150878906,125.9499969482422,126.76000213623048,125.26000213623048,125.43000030517578,9874200.0,0.0051877311518395,0.0106192690120364,81.6035530090332,78.19473266601562,81.29476655476057,49.76896634297273,momentum,0
2001-06-30,78.70755004882812,122.5999984741211,124.01000213623048,122.26000213623048,122.8000030517578,9824200.0,0.003683808870017,0.0082815805187705,79.54577560424805,80.44147384643554,79.2452902691889,35.57807264032394,momentum,0
2001-07-31,77.90509796142578,121.3499984741211,122.68000030517578,120.8000030517578,121.0,11918100.0,0.0041376322253068,0.0121122112364491,77.38443069458008,79.15588958740234,77.60597889981648,59.14976374597183,momentum,0
2001-08-31,73.28274536132812,114.1500015258789,114.7699966430664,113.12999725341795,113.4000015258789,15985400.0,0.007323911048412,0.011177950371978,75.56792526245117,76.88573318481446,75.37637697317146,34.838496528208566,momentum,0
2001-09-30,67.30066680908203,104.44000244140624,109.62000274658205,102.5,102.9800033569336,21687200.0,0.0212184628550133,0.0196721759839378,69.13170413970947,73.73615272521972,68.53921540351418,34.03963131157194,buy_hold,0
2001-10-31,68.17706298828125,105.8000030517578,107.86000061035156,105.8000030517578,106.9000015258789,28124200.0,-0.0033910629665276,0.0123722207648215,69.72328033447266,70.18031852722169,69.5144358654915,34.69396912896815,buy_hold,0
2001-11-30,73.4933090209961,114.0500030517578,114.91000366210938,114.0199966430664,114.4000015258789,13680300.0,-0.0071385031849562,0.0101756786833319,73.2767951965332,70.52020034790038,73.09679731560726,54.74668514590429,buy_hold,0
2001-12-31,73.90774536132812,114.3000030517578,116.38999938964844,114.2300033569336,116.1500015258789,14619500.0,-0.0146554103936012,0.0105992639165441,74.15247077941895,72.93137786865235,74.0741132815316,51.36541042849768,mean_reversion,0
2002-01-31,73.18354797363281,113.18000030517578,113.3000030517578,111.62000274658205,112.1500015258789,19909200.0,0.011710225806921,0.0113357614815997,73.88479423522949,74.03390625,73.46093416234537,40.52301392364552,momentum,0
2002-02-28,71.87092590332031,111.1500015258789,112.75,111.02999877929688,111.83000183105467,23755400.0,-0.0044781367062324,0.0129172049927596,71.52078094482422,73.05880279541016,71.8150110578495,59.26600710604153,buy_hold,0
2002-03-31,74.26212310791016,114.5199966430664,115.7699966430664,114.5,114.97000122070312,17532900.0,-0.0004363348529574,0.0096296858611122,74.94406776428222,73.17841949462891,74.3722653938975,37.37151411605608,mean_reversion,0
2002-04-30,69.9433364868164,107.86000061035156,108.63999938964844,106.63999938964844,107.0199966430664,19473500.0,0.0093582069306905,0.0110263002972558,72.09561157226562,73.19554702758789,71.85590777972028,31.992145269754403,momentum,0
2002-05-31,69.5283432006836,107.22000122070312,108.55999755859376,106.8499984741211,107.4000015258789,19826300.0,0.00205618351009,0.0143502684037505,70.21311569213867,71.6274171447754,70.43793022007632,55.78708179797028,momentum,0
2002-06-30,64.39659118652344,98.95999908447266,100.5,98.87999725341795,99.23999786376952,28184200.0,-0.0047275673433377,0.0144898547895116,66.15258407592773,68.72598861694335,66.14550275814727,37.41165419687243,momentum,0
2002-07-31,59.320899963378906,91.16000366210938,91.5500030517578,89.25,90.48999786376952,44669900.0,0.002419247541173,0.0278379532006981,58.56018981933594,63.61597831726074,58.66222166469188,46.82272979773225,buy_hold,0
