date,ret_1d,vol_21d,vol_63d,px_over_sma_10,px_over_sma_50,px_over_sma_200,rsi_14,macd,macd_signal,ret_5d,ret_21d,ret_63d,vol_zscore_21d,best_strategy
2015-07-31,-0.010676942077459284,0.39911873048944696,0.33990308517464624,-0.009204853575438543,0.06846548018446375,0.15201202171801564,55.74187566201129,6.094368748442719,6.926330399697351,-0.027456081311807656,-0.0008565239844390282,0.20056855556420095,-0.44624140778037436,Buy & Hold
2015-08-31,0.005660921922713502,0.8020931357698025,0.5578505498520574,0.017381497909033428,-0.1267187060559568,-0.08342724134272705,38.64837319690778,-10.785079367360652,-11.943957905597728,0.018708707937670432,-0.13012440468106212,-0.1050633153332362,-0.7087213001850631,Mean Reversion
2015-09-30,-0.0026490635765588078,0.19325850526984853,0.5002647966467232,0.010251865931570903,0.004598351274643031,-0.04452364427077993,61.4784108764427,-0.21493248006274257,-1.2867273890774176,0.003895486923535918,-0.008850902369197167,-0.18484754120041724,0.08820098337380712,Buy & Hold
2015-10-31,-0.042220718328576656,0.34891209342681084,0.2631478587412106,0.06295343231284001,0.24388367943052147,0.2618900603481895,72.76461291384246,18.06512096291027,13.592771547151964,0.10117770259212233,0.2826190489391247,0.3672468742990007,0.8078012412696486,Buy & Hold
2015-11-30,0.016232441013328103,0.6987152601528757,0.5817893973472482,0.09702828656753493,0.17783667163569783,0.4163362312797543,76.52111740014821,10.296558330427729,6.6970549788916,0.14964693424818698,-0.007721026068394532,0.5778115809885016,0.7458848775812058,Buy & Hold
2015-12-31,0.009251772096881439,0.54704354684134,0.664191813752576,-0.008402987609292034,0.09981790869610063,0.4536210697264418,39.294496778789004,8.717912895941254,14.548674254254628,0.031856764829739426,0.036314668216396395,0.37186589671095094,-0.8170671834781411,Buy & Hold
2016-01-31,-0.025083624722259446,0.7830064083275264,0.6007960601656229,-0.0442959844802695,-0.12779257162142443,0.1544524277312005,45.51569638241612,-11.943838798027457,-9.993354072971448,-0.05963492805875781,-0.17684283724083127,-0.0068059489607663615,-0.9131393999235936,Mean Reversion
2016-02-29,0.009672328710496725,0.27529589636459256,0.5223329076108612,0.013230403919448186,0.0906868393193645,0.29653511566838486,74.15953164991357,10.85737417840869,9.329906758163347,0.029984362572868406,0.17204583663578754,0.036511404949455706,-0.7616698752925339,Buy & Hold
2016-03-31,0.004611669609792424,0.1810988324561199,0.26204613570730245,-0.0046368141837630494,-0.0012379159734658973,0.13916549831519776,45.80946441397956,0.802630303715091,0.885499902100834,-0.002909481861630425,-0.0009637453104934801,0.09582186784535485,-0.6088096754745588,Mean Reversion
2016-04-30,-0.014895707782496825,0.2279213432824856,0.19937491839361635,-0.010035496841490632,0.04940756794001855,0.13372470372576806,60.102480497816025,8.279997930173465,8.03787253683917,-0.028407592668442505,0.06892280288665131,0.0365278294319471,0.4062638783056288,Buy & Hold
