strategy,total_return,annualized_return,annualized_vol,sharpe,max_drawdown
Buy & Hold,6.374193460209671,0.0829122591295186,0.15134372736843088,0.5478407369185322,-0.5078483234553823
Momentum,2.4825735682878234,0.0510031039765968,0.10097814772808122,0.5050905084329769,-0.30251546484588887
Mean Reversion,1.1448901986831803,0.03088960884256542,0.11242817401520638,0.2747497156574603,-0.40855116217100973
ML Adaptive (BH by default),1.315393181847638,0.03415346161641386,0.11391034963957693,0.2998275549542129,-0.4300529457782468
"Oracle (best of 3, ex post)",495.30077901314127,0.2807712190623126,0.08820761406271763,3.1830723690437637,0.0
