date,BH,Momentum,Mean Reversion,ML Adaptive,Oracle
2005-05-31,0.032224059052013754,0.0,0.032224059052013754,0.032224059052013754,0.032224059052013754
2005-06-30,0.0015157169744222099,0.0015157169744222099,0.0,0.0,0.0015157169744222099
2005-07-31,0.038261048627711736,0.038261048627711736,0.0,0.038261048627711736,0.038261048627711736
2005-08-31,-0.009374266139359877,-0.009374266139359877,-0.0,-0.0,-0.0
2005-09-30,0.008025744532994095,0.0,0.008025744532994095,0.008025744532994095,0.008025744532994095
2005-10-31,-0.023650904378992088,-0.023650904378992088,-0.0,-0.023650904378992088,-0.0
2005-11-30,0.04395213239641138,0.0,0.04395213239641138,0.04395213239641138,0.04395213239641138
2005-12-31,-0.0019134715481302633,-0.0019134715481302633,-0.0,-0.0,-0.0
2006-01-31,0.024014253141593445,0.0,0.024014253141593445,0.024014253141593445,0.024014253141593445
2006-02-28,0.00572526786525307,0.00572526786525307,0.0,0.0,0.00572526786525307
2006-03-31,0.016503809883672504,0.016503809883672504,0.0,0.016503809883672504,0.016503809883672504
2006-04-30,0.012632434667480208,0.012632434667480208,0.0,0.0,0.012632434667480208
2006-05-31,-0.03012151342152647,-0.03012151342152647,-0.0,-0.0,-0.0
2006-06-30,0.002608332927332535,0.0,0.002608332927332535,0.002608332927332535,0.002608332927332535
2006-07-31,0.004478486882027344,0.004478486882027344,0.0,0.004478486882027344,0.004478486882027344
2006-08-31,0.021822163843496112,0.021822163843496112,0.0,0.0,0.021822163843496112
2006-09-30,0.027001637116814026,0.027001637116814026,0.0,0.0,0.027001637116814026
2006-10-31,0.031516602944150485,0.031516602944150485,0.0,0.0,0.031516602944150485
2006-11-30,0.019885142700715397,0.019885142700715397,0.0,0.0,0.019885142700715397
2006-12-31,0.01337136965359087,0.01337136965359087,0.0,0.01337136965359087,0.01337136965359087
2007-01-31,0.015040614257604501,0.015040614257604501,0.0,0.0,0.015040614257604501
2007-02-28,-0.01961785487468881,-0.01961785487468881,-0.0,-0.01961785487468881,-0.0
2007-03-31,0.011589228569085952,0.0,0.011589228569085952,0.011589228569085952,0.011589228569085952
2007-04-30,0.04429585189707197,0.04429585189707197,0.0,0.04429585189707197,0.04429585189707197
2007-05-31,0.03392007730038182,0.03392007730038182,0.0,0.03392007730038182,0.03392007730038182
2007-06-30,-0.01462090160621643,-0.01462090160621643,-0.0,-0.01462090160621643,-0.0
2007-07-31,-0.03131031732812817,-0.0,-0.03131031732812817,-0.03131031732812817,-0.0
2007-08-31,0.012832780921379294,0.0,0.012832780921379294,0.0,0.012832780921379294
2007-09-30,0.03871455374252952,0.03871455374252952,0.0,0.03871455374252952,0.03871455374252952
2007-10-31,0.01356668446851006,0.01356668446851006,0.0,0.01356668446851006,0.01356668446851006
2007-11-30,-0.03873263071711275,-0.03873263071711275,-0.0,-0.03873263071711275,-0.0
2007-12-31,-0.011260818087309499,-0.0,-0.011260818087309499,-0.011260818087309499,-0.0
2008-01-31,-0.06046111670981369,-0.0,-0.06046111670981369,-0.06046111670981369,-0.0
2008-02-29,-0.025842517545271337,-0.0,-0.025842517545271337,-0.0,-0.0
2008-03-31,-0.008942185988704332,-0.0,-0.008942185988704332,-0.008942185988704332,-0.0
2008-04-30,0.047662378701338604,0.0,0.047662378701338604,0.0,0.047662378701338604
2008-05-31,0.0151165324458169,0.0151165324458169,0.0,0.0,0.0151165324458169
2008-06-30,-0.08357589744957084,-0.08357589744957084,-0.0,-0.08357589744957084,-0.0
2008-07-31,-0.008986072721471672,-0.0,-0.008986072721471672,-0.0,-0.0
2008-08-31,0.015453804411152294,0.0,0.015453804411152294,0.015453804411152294,0.015453804411152294
2008-09-30,-0.09417353967298014,-0.09417353967298014,-0.0,-0.09417353967298014,-0.0
2008-10-31,-0.16518676849041736,-0.0,-0.16518676849041736,-0.0,-0.0
2008-11-30,-0.06960653620508228,-0.0,-0.06960653620508228,-0.0,-0.0
2008-12-31,0.009796297695732425,0.0,0.009796297695732425,0.0,0.009796297695732425
2009-01-31,-0.08211447283656048,-0.08211447283656048,-0.0,-0.08211447283656048,-0.0
2009-02-28,-0.10744877631303174,-0.0,-0.10744877631303174,-0.10744877631303174,-0.0
2009-03-31,0.08331064289967394,0.0,0.08331064289967394,0.0,0.08331064289967394
2009-04-30,0.09934615210253295,0.09934615210253295,0.0,0.0,0.09934615210253295
2009-05-31,0.05845397326192425,0.05845397326192425,0.0,0.0,0.05845397326192425
2009-06-30,-0.0006556412081965002,-0.0006556412081965002,-0.0,-0.0,-0.0
2009-07-31,0.07460611770387948,0.0,0.07460611770387948,0.07460611770387948,0.07460611770387948
2009-08-31,0.03693972887405117,0.03693972887405117,0.0,0.0,0.03693972887405117
2009-09-30,0.03545705966914525,0.03545705966914525,0.0,0.03545705966914525,0.03545705966914525
2009-10-31,-0.019225173706677645,-0.019225173706677645,-0.0,-0.019225173706677645,-0.0
2009-11-30,0.061606437933545255,0.0,0.061606437933545255,0.061606437933545255,0.061606437933545255
2009-12-31,0.019101194645227082,0.019101194645227082,0.0,0.0,0.019101194645227082
2010-01-31,-0.03634245102447331,-0.03634245102447331,-0.0,-0.0,-0.0
2010-02-28,0.03119491345000469,0.0,0.03119491345000469,0.03119491345000469,0.03119491345000469
2010-03-31,0.06087930280407905,0.06087930280407905,0.0,0.06087930280407905,0.06087930280407905
2010-04-30,0.015470337243479015,0.015470337243479015,0.0,0.0,0.015470337243479015
2010-05-31,-0.07945453456071983,-0.07945453456071983,-0.0,-0.07945453456071983,-0.0
