date,BH,Momentum,Mean Reversion,ML Adaptive,Oracle
2005-05-31,1.0322240590520138,1.0,1.0322240590520138,1.0322240590520138,1.0322240590520138
2005-06-30,1.0337886185797258,1.0015157169744222,1.0322240590520138,1.0322240590520138,1.0337886185797258
2005-07-31,1.0733424551859796,1.0398347585229981,1.0322240590520138,1.071718033970097,1.0733424551859796
2005-08-31,1.0632806573523923,1.0300870707556464,1.0322240590520138,1.071718033970097,1.0733424551859796
2005-09-30,1.0718142762751766,1.0300870707556464,1.0405084256507755,1.0803193691221435,1.081956827527719
2005-10-31,1.0464648993149537,1.0057245799431687,1.0405084256507755,1.0547688390242627,1.081956827527719
2005-11-30,1.0924592631178418,1.0057245799431687,1.08624098973456,1.1011281786846663,1.1295111372584186
2005-12-31,1.0903688734003745,1.0038001545741921,1.08624098973456,1.1011281786846663,1.1295111372584186
2006-01-31,1.1165532675439251,1.0038001545741921,1.1123262558348206,1.1275709495089417,1.1566355036347913
2006-02-28,1.1229458340864378,1.0095471793423119,1.1123262558348206,1.1275709495089417,1.1632575517155623
2006-03-31,1.1414787186418625,1.0262085540587753,1.1123262558348206,1.1461801660899893,1.1824557331948222
2006-04-30,1.1558983739794249,1.039172066573132,1.1123262558348206,1.1461801660899893,1.1973930279915932
2006-05-31,1.121080965593683,1.007870631222574,1.1123262558348206,1.1461801660899893,1.1973930279915932
2006-06-30,1.124005117990447,1.007870631222574,1.115227573033851,1.1491697855578573,1.200516227653462
2006-07-31,1.1290389601666988,1.012384366623285,1.115227573033851,1.1543163273677004,1.205892723830669
2006-08-31,1.153677033341147,1.0344767841443323,1.115227573033851,1.1543163273677004,1.2322079124277816
2006-09-30,1.1848282019454273,1.0624093508755663,1.115227573033851,1.1543163273677004,1.2654795433316235
2006-10-31,1.222169961943173,1.095892884551264,1.115227573033851,1.1543163273677004,1.305363159632751
2006-11-30,1.246472986040941,1.1176848709452647,1.115227573033851,1.1543163273677004,1.331320492338305
2006-12-31,1.2631400371005095,1.1326298485108999,1.115227573033851,1.1697511176781092,1.3491220707687612
2007-01-31,1.2821384391518744,1.1496652971590013,1.115227573033851,1.1697511176781092,1.3694136954216147
2007-02-28,1.256985633323333,1.12711133020487,1.115227573033851,1.146803110011995,1.3694136954216147
2007-03-31,1.2715531271359743,1.12711133020487,1.1281522002842872,1.1600936733776628,1.3852841437434924
2007-04-30,1.3278776561348482,1.1770376867591368,1.1281522002842872,1.21148101092033,1.4466464850101164
2007-05-31,1.372919368876392,1.2169628960794694,1.1281522002842872,1.2525745404586923,1.4957168456079852
2007-06-30,1.3528460498707817,1.1991698013174752,1.1281522002842872,1.2342607713481941,1.4957168456079852
2007-07-31,1.3104880107532229,1.1991698013174752,1.0928293968989602,1.195615674931622,1.4957168456079852
2007-08-31,1.3273052162953132,1.1991698013174752,1.1068534371338077,1.195615674931622,1.514911052208089
2007-09-30,1.3786912454243179,1.245595125036999,1.1068534371338077,1.241903402234173,1.573560157553951
2007-10-31,1.3973955145304868,1.2624937210738902,1.1068534371338077,1.2587519138326533,1.5949081517037045
2007-11-30,1.3432707101004278,1.2135940179928617,1.1068534371338077,1.209997140789714,1.5949081517037045
2007-12-31,1.3281443829919757,1.2135940179928617,1.0943893619289307,1.1963715831011166,1.5949081517037045
2008-01-31,1.2478432904444143,1.2135940179928617,1.0282213589913671,1.1240376211869354,1.5949081517037045
2008-02-29,1.2155958783173555,1.2135940179928617,1.00164953048121,1.1240376211869354,1.5949081517037045
2008-03-31,1.2047257938863394,1.2135940179928617,0.9926925940841488,1.113986267719981,1.5949081517037045
2008-04-30,1.262145890905821,1.2135940179928617,1.0400066844374016,1.113986267719981,1.6709252680240585
2008-05-31,1.2812251602170532,1.2319393513419001,1.0400066844374016,1.113986267719981,1.6961838640526794
2008-06-30,1.174145617616943,1.1289789144500586,1.0400066844374016,1.0208838656487857,1.6961838640526794
2008-07-31,1.1635946597114397,1.1289789144500586,1.0306611087402304,1.0208838656487857,1.6961838640526794
2008-08-31,1.1815766239964816,1.1289789144500586,1.0465887439288832,1.0366604052350232,1.722396357733102
2008-09-30,1.070303370919883,1.022658973860138,1.0465887439288832,0.9390344254352151,1.722396357733102
2008-10-31,0.893503415773227,1.022658973860138,0.8737061313808261,0.9390344254352151,1.722396357733102
2008-11-30,0.8313097379138432,1.022658973860138,0.8128904739142643,0.9390344254352151,1.722396357733102
2008-12-31,0.8394534955838086,1.022658973860138,0.8208537909907534,0.9390344254352151,1.7392694652035008
2009-01-31,0.7705222143231362,0.9386838713300348,0.8208537909907534,0.8619261086152199,1.7392694652035008
2009-02-28,0.6877305452721076,0.9386838713300348,0.7326540556168838,0.7693132029722612,1.7392694652035008
2009-03-31,0.7450258191404703,0.9386838713300348,0.7936919360133798,0.7693132029722612,1.8841691225253765
2009-04-30,0.8190412674891137,1.031938501987383,0.7936919360133798,0.7693132029722612,2.0713540747586787
2009-05-31,0.8669174838393349,1.0922594075905037,0.7936919360133798,0.7693132029722612,2.1924329504606
2009-06-30,0.8663490970128238,1.091543277312847,0.7936919360133798,0.7693132029722612,2.1924329504606
2009-07-31,0.9309840397172122,1.091543277312847,0.852906210012214,0.8267086743443582,2.3560018612205273
2009-08-31,0.9653743377304349,1.1318645900310769,0.852906210012214,0.8267086743443582,2.4430319312007738
2009-09-30,0.9996036732264045,1.1719971803372013,0.852906210012214,0.8560213331395862,2.529654660158987
2009-10-31,0.9803861189707939,1.1494653309614822,0.852906210012214,0.8395641743133558,2.529654660158987
